comp_id,title
9626,Chegg
9628,Black Knight Financial Services
9666,Boomerang Commerce
9694,Cargotec
9698,Bel
9734,Smart IMS
9742,Pathfinder
9800,Serum Institute of India
9834,Coffee Day
9841,Kaya Skin Clinic
9847,Aforeserve.com
9872,Delhi Duty Free Services
9903,Globus Stores
9912,Avizva Solutions
9918,Ameex
9942,Franciscan Solutions
9950,Cloudnine Hospital
9954,NDOT Technologies
9955,Heritage Foods India
9978,Kalyaniwalla & Mistry
9989,LeadSquared
10015,Wordplay Content
10026,Sona Koyo Steering Systems
10042,GKB RX Lens
10095,SoftAge Information Technology
10114,IDMC
10168,NSETECH
10169,Religare Health Insurance Company Limited
10186,Sandhar Technologies
10190,HDIL
10198,Invertis University
10212,Polycab Wires
10214,AGI glaspac
10234,Electrosteel Steels
10245,Solartis
10250,Posist Technologies
10285,Molex
10318,Taylor & Francis Group
10343,Saud Bahwan Group
10407,SA Technologies Inc
10408,NCC
10515,Alepo Usa
10520,Sunbeam Auto
10566,IIC Technologies
10592,Manav Rachna Educational Institutions
10596,United Phosphorus
10598,National Fertilizers
10602,Phillips Carbon Black
11358,MaxLinear
11859,Lupin
11903,Verizon
11946,Robert Bosch
11964,IDEA Cellular
11986,Tata Teleservices
11987,Manhattan Associates
11991,Happiest Minds Technologies
12002,Newgen Software
12003,ICICI Prudential Life Insurance
12006,Firstsource Solutions
12019,SLK Software Services
12020,Yodlee
12032,Microland
12034,Future Group
12035,IndiaMART
12036,Godrej & Boyce Manufacturing
12040,IIFL
12046,Zycus
12050,Quintiles
12051,IDBI Bank
12059,IndusInd Bank
12061,MakeMyTrip
12063,Bharat Electronics
12066,Barclays Shared Services
12071,Temenos
12075,Orange Business Services
12083,Yes Bank
12109,Futures First info services pvt
12112,Hitachi Consulting
12125,Bajaj Allianz General Insurance Co
12126,IIT Bombay
12127,QA InfoTech
12129,Indian Air Force
12149,Punj Lloyd
12155,Calsoft
12164,CMS Infosystems
12174,Eaton
12175,OpenText
12177,Shoppers Stop
12178,Teach For India
12181,Randstad
12197,GS Lab
12200,MSCI
12203,GlobalData
12205,Apollo Hospitals
12206,Next Education India
12207,Shriram Transport Finance
12215,TCS eServe
12219,RateGain
12231,iEnergizer
12234,Accel Frontline
12248,CIGNEX Datamatics
12251,UltraTech Cement
12255,athenahealth
12256,Fujitsu Consulting
12257,British Telecommunications
12258,FLSmidth
12262,Central Bank of India
12263,Blue Star
12265,Sharekhan
12304,HTC Global Services
12307,Harbinger Group
12330,Edifecs
12331,Atlas Copco
12333,Sun Pharma
12336,ITC Hotels
12337,HighRadius
12340,Tata Business Support Services
12342,Copal Amba
12386,CtrlS Datacenter
12390,Dunnhumby
12391,ION Trading
12397,Hindustan Zinc Limited
12398,Wipro Spectramind
12408,Aegis
12415,Adobe
12424,GE
12439,Intuit
12450,CitiusTech
12451,NCR
12455,Sony
12471,Ogilvy & Mather
12476,Dimension Data
12477,Jacobs
12489,BNY Mellon
12499,MetLife
